"filename", "language", "Markdown", "HTML", "JSON", "JavaScript", "CSS", "JavaScript React", "SCSS", "XML", "comment", "blank", "total"
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_shutter-out-horizontal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 1, 4, 35
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_shutter-out-vertical.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 1, 4, 35
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_sweep-to-bottom.scss", "SCSS", 0, 0, 0, 0, 0, 0, 29, 0, 1, 4, 34
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_sweep-to-left.scss", "SCSS", 0, 0, 0, 0, 0, 0, 29, 0, 1, 4, 34
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_sweep-to-right.scss", "SCSS", 0, 0, 0, 0, 0, 0, 29, 0, 1, 4, 34
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\background-transitions\_sweep-to-top.scss", "SCSS", 0, 0, 0, 0, 0, 0, 29, 0, 1, 4, 34
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_border-fade.scss", "SCSS", 0, 0, 0, 0, 0, 0, 16, 0, 1, 3, 20
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_hollow.scss", "SCSS", 0, 0, 0, 0, 0, 0, 14, 0, 1, 3, 18
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_outline-in.scss", "SCSS", 0, 0, 0, 0, 0, 0, 28, 0, 1, 4, 33
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_outline-out.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 1, 4, 30
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_overline-from-center.scss", "SCSS", 0, 0, 0, 0, 0, 0, 27, 0, 1, 5, 33
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_overline-from-left.scss", "SCSS", 0, 0, 0, 0, 0, 0, 26, 0, 1, 5, 32
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_overline-from-right.scss", "SCSS", 0, 0, 0, 0, 0, 0, 26, 0, 1, 5, 32
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_overline-reveal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 27, 0, 1, 5, 33
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_reveal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 29, 0, 1, 5, 35
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_ripple-in.scss", "SCSS", 0, 0, 0, 0, 0, 0, 31, 0, 1, 5, 37
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_ripple-out.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 1, 5, 36
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_round-corners.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 13
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_trim.scss", "SCSS", 0, 0, 0, 0, 0, 0, 23, 0, 1, 4, 28
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_underline-from-center.scss", "SCSS", 0, 0, 0, 0, 0, 0, 27, 0, 1, 5, 33
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_underline-from-center2.scss", "SCSS", 0, 0, 0, 0, 0, 0, 27, 0, 1, 5, 33
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_underline-from-left.scss", "SCSS", 0, 0, 0, 0, 0, 0, 26, 0, 1, 5, 32
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_underline-from-right.scss", "SCSS", 0, 0, 0, 0, 0, 0, 26, 0, 1, 5, 32
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\border-transitions\_underline-reveal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 27, 0, 1, 5, 33
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\curls\_curl-bottom-left.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 1, 3, 34
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\curls\_curl-bottom-right.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 1, 3, 34
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\curls\_curl-top-left.scss", "SCSS", 0, 0, 0, 0, 0, 0, 32, 0, 1, 4, 37
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\curls\_curl-top-right.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 1, 3, 34
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-back.scss", "SCSS", 0, 0, 0, 0, 0, 0, 17, 0, 1, 4, 22
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-bob.scss", "SCSS", 0, 0, 0, 0, 0, 0, 36, 0, 1, 6, 43
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-bounce-out.scss", "SCSS", 0, 0, 0, 0, 0, 0, 23, 0, 1, 5, 29
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-bounce.scss", "SCSS", 0, 0, 0, 0, 0, 0, 18, 0, 1, 5, 24
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-buzz-out.scss", "SCSS", 0, 0, 0, 0, 0, 0, 49, 0, 1, 14, 64
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-buzz.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 1, 6, 32
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-down.scss", "SCSS", 0, 0, 0, 0, 0, 0, 26, 0, 2, 5, 33
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-drop.scss", "SCSS", 0, 0, 0, 0, 0, 0, 33, 0, 2, 8, 43
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-fade.scss", "SCSS", 0, 0, 0, 0, 0, 0, 15, 0, 1, 4, 20
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-float-away.scss", "SCSS", 0, 0, 0, 0, 0, 0, 25, 0, 2, 6, 33
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-float.scss", "SCSS", 0, 0, 0, 0, 0, 0, 17, 0, 1, 4, 22
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-forward.scss", "SCSS", 0, 0, 0, 0, 0, 0, 17, 0, 1, 4, 22
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-grow-rotate.scss", "SCSS", 0, 0, 0, 0, 0, 0, 18, 0, 1, 5, 24
"d:\mazen\Documents\myVsProjects\letScrum\LetScrum\src\assets\scss\effects\icons\_icon-grow.scss", "SCSS", 0, 0, 0, 0, 0, 0, 17, 0, 1, 4, 22
